txn_id,txn_date,customer_id,product_id,quantity
T000085,2025-12-01,CUST007,P00512,4
T000086,2025-12-01,CUST007,P00629,3
T000087,2025-12-01,CUST007,P00207,2
T000120,2025-12-01,CUST012,P00790,2
T000121,2025-12-01,CUST012,P00231,4
T000122,2025-12-01,CUST012,P00868,1
T000123,2025-12-01,CUST012,P00944,4
T000124,2025-12-01,CUST012,P00421,2
T000172,2025-12-01,CUST019,P00573,2
T000173,2025-12-01,CUST019,P00369,1
T000174,2025-12-01,CUST019,P00269,1
T000175,2025-12-01,CUST019,P00437,4
T000244,2025-12-01,CUST023,P00649,3
T000009,2025-12-02,CUST001,P00889,4
T000010,2025-12-02,CUST001,P00539,1
T000104,2025-12-02,CUST010,P00716,4
T000105,2025-12-02,CUST010,P00827,1
T000106,2025-12-02,CUST010,P00924,2
T000191,2025-12-02,CUST020,P00526,2
T000192,2025-12-02,CUST020,P00642,3
T000193,2025-12-02,CUST020,P00310,3
T000212,2025-12-02,CUST022,P00618,4
T000213,2025-12-02,CUST022,P00125,1
T000214,2025-12-02,CUST022,P00434,4
T000215,2025-12-02,CUST022,P00460,2
T000245,2025-12-02,CUST023,P00173,4
T000246,2025-12-02,CUST023,P00779,3
T000263,2025-12-02,CUST025,P00310,2
T000264,2025-12-02,CUST025,P00348,3
T000265,2025-12-02,CUST025,P00829,4
T000266,2025-12-02,CUST025,P00936,3
T000267,2025-12-02,CUST025,P00601,4
T000334,2025-12-03,CUST029,P00909,1
T000024,2025-12-04,CUST003,P00760,3
T000025,2025-12-04,CUST003,P00527,1
T000026,2025-12-04,CUST003,P00691,1
T000027,2025-12-04,CUST003,P00376,3
T000100,2025-12-04,CUST010,P00036,1
T000101,2025-12-04,CUST010,P00662,3
T000102,2025-12-04,CUST010,P00022,4
T000103,2025-12-04,CUST010,P00748,2
T000310,2025-12-04,CUST027,P00274,3
T000311,2025-12-04,CUST027,P00895,1
T000312,2025-12-04,CUST027,P00749,1
T000043,2025-12-05,CUST005,P00973,2
T000044,2025-12-05,CUST005,P00596,2
T000045,2025-12-05,CUST005,P00543,4
T000046,2025-12-05,CUST005,P00236,2
T000047,2025-12-05,CUST005,P00588,1
T000048,2025-12-05,CUST005,P00255,1
T000049,2025-12-05,CUST005,P00640,1
T000050,2025-12-05,CUST005,P00711,1
T000051,2025-12-05,CUST005,P00493,3
T000052,2025-12-05,CUST005,P00090,1
T000053,2025-12-05,CUST005,P00171,3
T000054,2025-12-05,CUST005,P00706,3
T000055,2025-12-05,CUST005,P00851,2
T000056,2025-12-05,CUST005,P00409,2
T000135,2025-12-05,CUST015,P00116,4
T000136,2025-12-05,CUST015,P00363,1
T000143,2025-12-05,CUST016,P00638,3
T000144,2025-12-05,CUST016,P00219,3
T000145,2025-12-05,CUST016,P00200,3
T000146,2025-12-05,CUST016,P00968,4
T000161,2025-12-05,CUST017,P00557,2
T000348,2025-12-05,CUST030,P00902,2
T000349,2025-12-05,CUST030,P00171,2
T000081,2025-12-06,CUST007,P00391,3
T000082,2025-12-06,CUST007,P00378,2
T000083,2025-12-06,CUST007,P00591,3
T000084,2025-12-06,CUST007,P00054,1
T000097,2025-12-06,CUST009,P00529,2
T000098,2025-12-06,CUST009,P00860,1
T000099,2025-12-06,CUST009,P00016,3
T000194,2025-12-06,CUST020,P00671,1
T000292,2025-12-06,CUST026,P00034,2
T000130,2025-12-07,CUST014,P00898,3
T000131,2025-12-07,CUST014,P00771,4
T000132,2025-12-07,CUST014,P00471,1
T000133,2025-12-07,CUST014,P00760,4
T000134,2025-12-07,CUST014,P00060,1
T000300,2025-12-07,CUST027,P00337,2
T000301,2025-12-07,CUST027,P00186,4
T000302,2025-12-07,CUST027,P00034,4
T000303,2025-12-07,CUST027,P00090,3
T000006,2025-12-08,CUST001,P00964,3
