txn_id,txn_date,customer_id,product_id,quantity
T000001,2025-12-11,CUST001,P00245,1
T000002,2025-12-11,CUST001,P00748,1
T000003,2025-12-11,CUST001,P00621,1
T000004,2025-12-11,CUST001,P00139,3
T000005,2025-12-11,CUST001,P00369,1
T000006,2025-12-08,CUST001,P00964,3
T000007,2025-12-08,CUST001,P00597,2
T000008,2025-12-26,CUST001,P00560,4
T000009,2025-12-02,CUST001,P00889,4
T000010,2025-12-02,CUST001,P00539,1
T000011,2025-12-12,CUST001,P00277,3
T000012,2025-12-10,CUST001,P00312,4
T000013,2025-12-10,CUST001,P00367,4
T000014,2025-12-15,CUST002,P00511,2
T000015,2025-12-15,CUST002,P00740,4
T000016,2025-12-18,CUST002,P00553,4
T000017,2025-12-28,CUST003,P00104,3
T000018,2025-12-28,CUST003,P00295,4
T000019,2025-12-28,CUST003,P00483,3
T000020,2025-12-28,CUST003,P00380,1
T000021,2025-12-28,CUST003,P00363,3
T000022,2025-12-28,CUST003,P00329,1
T000023,2025-12-28,CUST003,P00422,2
T000024,2025-12-04,CUST003,P00760,3
T000025,2025-12-04,CUST003,P00527,1
T000026,2025-12-04,CUST003,P00691,1
T000027,2025-12-04,CUST003,P00376,3
T000028,2025-12-16,CUST004,P00290,2
T000029,2025-12-16,CUST004,P00667,2
T000030,2025-12-13,CUST004,P00216,2
T000031,2025-12-13,CUST004,P00656,2
T000032,2025-12-13,CUST004,P00610,1
T000033,2025-12-13,CUST004,P00017,3
T000034,2025-12-13,CUST004,P00712,2
T000035,2025-12-31,CUST004,P00770,2
T000036,2025-12-31,CUST004,P00933,4
T000037,2025-12-31,CUST004,P00895,4
T000038,2025-12-31,CUST004,P00381,3
T000039,2025-12-30,CUST004,P00991,1
T000040,2025-12-30,CUST004,P00320,3
T000041,2025-12-30,CUST004,P00205,4
T000042,2025-12-20,CUST004,P00798,3
T000043,2025-12-05,CUST005,P00973,2
T000044,2025-12-05,CUST005,P00596,2
T000045,2025-12-05,CUST005,P00543,4
