txn_id,txn_date,customer_id,product_id,quantity
TXN-DE67A168,2025-12-19,CUST006,P00315,3
TXN-DE67A168,2025-12-19,CUST006,P00147,1
TXN-7721740E,2025-12-20,CUST007,P00264,1
TXN-7721740E,2025-12-20,CUST007,P00216,3
TXN-83B5CE81,2025-12-20,CUST012,P00390,1
TXN-83B5CE81,2025-12-20,CUST012,P00540,1
TXN-83B5CE81,2025-12-20,CUST012,P00589,2
TXN-83B5CE81,2025-12-20,CUST012,P00153,2
TXN-AF608C6D,2025-12-20,CUST013,P01000,1
TXN-BC479CD6,2025-12-21,CUST005,P00755,2
TXN-BC479CD6,2025-12-21,CUST005,P00652,2
TXN-BC479CD6,2025-12-21,CUST005,P00105,3
TXN-F96EB6AB,2025-12-21,CUST008,P00561,1
TXN-F96EB6AB,2025-12-21,CUST008,P00568,3
TXN-F96EB6AB,2025-12-21,CUST008,P00318,1
TXN-F96EB6AB,2025-12-21,CUST008,P00152,2
TXN-F96EB6AB,2025-12-21,CUST008,P00787,2
TXN-EEC09EF1,2025-12-21,CUST026,P00370,2
TXN-EEC09EF1,2025-12-21,CUST026,P00481,2
TXN-EEC09EF1,2025-12-21,CUST026,P00177,1
TXN-EEC09EF1,2025-12-21,CUST026,P00113,2
TXN-EEC09EF1,2025-12-21,CUST026,P00755,3
TXN-DF8B2D26,2025-12-22,CUST001,P00424,2
TXN-DF8B2D26,2025-12-22,CUST001,P00099,3
TXN-DF8B2D26,2025-12-22,CUST001,P00079,2
TXN-81F8471E,2025-12-22,CUST006,P00621,1
TXN-81F8471E,2025-12-22,CUST006,P00076,1
TXN-81F8471E,2025-12-22,CUST006,P00976,1
TXN-81F8471E,2025-12-22,CUST006,P00319,1
TXN-81F8471E,2025-12-22,CUST006,P00387,3
TXN-2B6FEFD0,2025-12-22,CUST022,P00836,3
TXN-2B6FEFD0,2025-12-22,CUST022,P00273,3
TXN-2B6FEFD0,2025-12-22,CUST022,P00655,1
TXN-A77BECD5,2025-12-23,CUST002,P00942,1
