product_id,product_name,super_category,category,brand,base_price,discount_percent,monthly_sales_volume,avg_rating,return_rate_percent,profit_margin_percent,is_perishable,shelf_life_days,launch_date
P00001,Fiama Bath Soap,Personal Care,Bath & Body,Fiama,180,5,298,3.4,32.31,28.89,No,269,2023-04-24
P00002,Pepsi Soft Drink,Beverages,Cold Drinks & Juices,Pepsi,75,5,1109,4.2,17.68,29.25,No,609,2021-03-27
P00003,Tata Tea Coffee Beans,Beverages,Tea & Coffee,Tata Tea,263,15,473,3.7,26.65,28.55,No,284,2020-07-08
P00004,Tropicana Apple Juice,Beverages,Cold Drinks & Juices,Tropicana,87,0,1377,4.0,20.37,26.16,No,260,2023-02-04
P00005,Mars Ladoo,Snacks,Chocolates & Sweets,Mars,121,0,806,3.6,28.87,38.8,No,418,2020-07-25
P00006,Nescafe Herbal Tea,Beverages,Tea & Coffee,Nescafe,266,10,469,3.6,28.8,25.95,No,253,2023-06-01
P00007,Lux Conditioner,Personal Care,Bath & Body,Lux,276,15,301,4.9,3.92,31.64,No,512,2020-04-24
P00008,Patanjali Toor Dal,Staples,"Atta, Rice & Dal",Patanjali,187,0,622,4.8,5.7,29.23,No,397,2023-09-04
P00009,Continental Filter Coffee,Beverages,Tea & Coffee,Continental,246,10,271,3.6,29.68,36.06,No,618,2023-04-10
P00010,Brooke Bond Green Tea,Beverages,Tea & Coffee,Brooke Bond,621,15,175,4.5,12.58,37.71,No,343,2023-10-25
P00011,Paper Boat Energy Drink,Beverages,Cold Drinks & Juices,Paper Boat,139,20,594,4.9,4.58,39.83,No,297,2023-10-28
P00012,Pigeon Food Storage Bags,Household,Kitchen Essentials,Pigeon,97,10,512,3.5,30.01,29.16,No,449,2022-10-22
P00013,Daawat Rajma,Staples,"Atta, Rice & Dal",Daawat,480,20,505,3.5,32.29,31.91,No,180,2023-05-11
P00014,Cadbury Chocolate Bar,Snacks,Chocolates & Sweets,Cadbury,421,10,345,3.3,36.63,25.8,No,267,2024-02-07
P00015,Thums Up Fruit Juice,Beverages,Cold Drinks & Juices,Thums Up,141,20,461,3.7,28.62,33.65,No,396,2023-01-09
P00016,Santoor Face Wash,Personal Care,Bath & Body,Santoor,231,15,526,4.0,20.74,39.04,No,201,2023-04-19
P00017,Surf Excel Dishwash Liquid,Household,Cleaning & Laundry,Surf Excel,152,0,345,3.3,34.09,35.05,No,706,2021-05-02
P00018,Haldirams Ladoo,Snacks,Chocolates & Sweets,Haldirams,185,20,803,4.0,22.35,27.89,No,374,2020-07-12
P00019,Aavin Fresh Cream,Fresh,Dairy & Eggs,Aavin,135,15,2167,4.4,14.02,25.24,Yes,6,2020-05-04
P00020,Red Label Coffee Beans,Beverages,Tea & Coffee,Red Label,354,5,285,4.1,18.42,37.25,No,653,2021-05-26
P00021,Mother Dairy Brown Eggs,Fresh,Dairy & Eggs,Mother Dairy,42,20,2609,3.2,36.28,28.69,Yes,8,2020-12-06
P00022,Wagh Bakri Herbal Tea,Beverages,Tea & Coffee,Wagh Bakri,510,0,225,3.8,26.96,36.02,No,645,2021-08-07
P00023,Wagh Bakri Green Tea,Beverages,Tea & Coffee,Wagh Bakri,403,5,167,4.2,17.63,28.78,No,238,2020-04-12
