txn_id,txn_date,customer_id,product_id,quantity
T000009,2025-12-02,CUST001,P00889,4
T000010,2025-12-02,CUST001,P00539,1
T000104,2025-12-02,CUST010,P00716,4
T000105,2025-12-02,CUST010,P00827,1
T000106,2025-12-02,CUST010,P00924,2
T000191,2025-12-02,CUST020,P00526,2
T000192,2025-12-02,CUST020,P00642,3
T000193,2025-12-02,CUST020,P00310,3
T000212,2025-12-02,CUST022,P00618,4
T000213,2025-12-02,CUST022,P00125,1
T000214,2025-12-02,CUST022,P00434,4
T000215,2025-12-02,CUST022,P00460,2
T000245,2025-12-02,CUST023,P00173,4
T000246,2025-12-02,CUST023,P00779,3
T000263,2025-12-02,CUST025,P00310,2
T000264,2025-12-02,CUST025,P00348,3
T000265,2025-12-02,CUST025,P00829,4
T000266,2025-12-02,CUST025,P00936,3
T000267,2025-12-02,CUST025,P00601,4
