txn_id,txn_date,customer_id,product_id,quantity
TXN-82A8C9EA,2025-12-27,CUST002,P00932,3
TXN-82A8C9EA,2025-12-27,CUST002,P00185,3
TXN-2AD600BC,2025-12-27,CUST004,P00841,3
TXN-2AD600BC,2025-12-27,CUST004,P00796,3
TXN-2AD600BC,2025-12-27,CUST004,P00621,3
TXN-2AD600BC,2025-12-27,CUST004,P00140,3
TXN-37B9B3BC,2025-12-27,CUST006,P00500,2
TXN-37B9B3BC,2025-12-27,CUST006,P00539,3
TXN-37B9B3BC,2025-12-27,CUST006,P00624,1
TXN-C6377890,2025-12-27,CUST008,P00498,3
TXN-C6377890,2025-12-27,CUST008,P00766,3
TXN-D52E482F,2025-12-27,CUST013,P00011,3
TXN-AA7A5B96,2025-12-27,CUST015,P00432,2
TXN-AA7A5B96,2025-12-27,CUST015,P00997,1
TXN-AA7A5B96,2025-12-27,CUST015,P00538,1
TXN-AA7A5B96,2025-12-27,CUST015,P00758,3
TXN-AA7A5B96,2025-12-27,CUST015,P00108,3
TXN-BD136424,2025-12-27,CUST016,P00760,2
TXN-BD136424,2025-12-27,CUST016,P00413,3
TXN-BD136424,2025-12-27,CUST016,P00389,1
TXN-BD136424,2025-12-27,CUST016,P00175,1
TXN-BD136424,2025-12-27,CUST016,P00195,2
TXN-BCCFB507,2025-12-27,CUST018,P00469,3
TXN-BCCFB507,2025-12-27,CUST018,P00857,1
TXN-BCCFB507,2025-12-27,CUST018,P00225,1
TXN-BCCFB507,2025-12-27,CUST018,P00427,1
TXN-BCCFB507,2025-12-27,CUST018,P00154,2
TXN-84F5B9F7,2025-12-27,CUST019,P00878,1
TXN-DF3CDCAA,2025-12-27,CUST027,P00635,2
TXN-DF3CDCAA,2025-12-27,CUST027,P00751,3
TXN-DF3CDCAA,2025-12-27,CUST027,P00043,3
TXN-DF3CDCAA,2025-12-27,CUST027,P00566,3
TXN-DF3CDCAA,2025-12-27,CUST027,P00273,1
